recording_id,user_id,type,subtype,start,end,duration_sec,text,confidence,clip_filename,clip_path
825780,245746,repetition,immediate,29.0,29.12,0.120000000000001,अच्छ्छा... अच्छ्छा...,0.656,825780_disf_000_repetition_immediate.wav,output/disfluency_clips/825780_disf_000_repetition_immediate.wav
825780,245746,prolongation,elongation,29.0,29.1,0.10000000000000142,अच्छ्छा...,0.656,825780_disf_001_prolongation_elongation.wav,output/disfluency_clips/825780_disf_001_prolongation_elongation.wav
825780,245746,prolongation,elongation,29.1,29.12,0.019999999999999574,अच्छ्छा...,0.695,825780_disf_002_prolongation_elongation.wav,output/disfluency_clips/825780_disf_002_prolongation_elongation.wav
825780,245746,repetition,immediate,29.12,29.66,0.5399999999999991,अच्छा... अच्छा...,0.705,825780_disf_003_repetition_immediate.wav,output/disfluency_clips/825780_disf_003_repetition_immediate.wav
825780,245746,prolongation,elongation,29.12,29.14,0.019999999999999574,अच्छा...,0.705,825780_disf_004_prolongation_elongation.wav,output/disfluency_clips/825780_disf_004_prolongation_elongation.wav
825780,245746,repetition,immediate,29.14,29.68,0.5399999999999991,अच्छा... अच्छा...,0.75,825780_disf_005_repetition_immediate.wav,output/disfluency_clips/825780_disf_005_repetition_immediate.wav
825780,245746,prolongation,elongation,29.14,29.66,0.5199999999999996,अच्छा...,0.75,825780_disf_006_prolongation_elongation.wav,output/disfluency_clips/825780_disf_006_prolongation_elongation.wav
825780,245746,repetition,immediate,29.66,29.94,0.28000000000000114,अच्छा... अच्छा...,0.771,825780_disf_007_repetition_immediate.wav,output/disfluency_clips/825780_disf_007_repetition_immediate.wav
825780,245746,prolongation,elongation,29.66,29.68,0.019999999999999574,अच्छा...,0.771,825780_disf_008_prolongation_elongation.wav,output/disfluency_clips/825780_disf_008_prolongation_elongation.wav
825780,245746,repetition,immediate,29.68,29.96,0.28000000000000114,अच्छा... अच्छा...,0.785,825780_disf_009_repetition_immediate.wav,output/disfluency_clips/825780_disf_009_repetition_immediate.wav
825780,245746,prolongation,elongation,29.68,29.94,0.26000000000000156,अच्छा...,0.785,825780_disf_010_prolongation_elongation.wav,output/disfluency_clips/825780_disf_010_prolongation_elongation.wav
825780,245746,repetition,immediate,29.94,29.98,0.03999999999999915,अच्छा... अच्छा...,0.809,825780_disf_011_repetition_immediate.wav,output/disfluency_clips/825780_disf_011_repetition_immediate.wav
825780,245746,prolongation,elongation,29.94,29.96,0.019999999999999574,अच्छा...,0.809,825780_disf_012_prolongation_elongation.wav,output/disfluency_clips/825780_disf_012_prolongation_elongation.wav
825780,245746,repetition,immediate,29.96,30.0,0.03999999999999915,अच्छा... अच्छा...,0.825,825780_disf_013_repetition_immediate.wav,output/disfluency_clips/825780_disf_013_repetition_immediate.wav
825780,245746,prolongation,elongation,29.96,29.98,0.019999999999999574,अच्छा...,0.825,825780_disf_014_prolongation_elongation.wav,output/disfluency_clips/825780_disf_014_prolongation_elongation.wav
825780,245746,repetition,immediate,29.98,30.02,0.03999999999999915,अच्छा... अच्छा...,0.843,825780_disf_015_repetition_immediate.wav,output/disfluency_clips/825780_disf_015_repetition_immediate.wav
825780,245746,prolongation,elongation,29.98,30.0,0.019999999999999574,अच्छा...,0.843,825780_disf_016_prolongation_elongation.wav,output/disfluency_clips/825780_disf_016_prolongation_elongation.wav
825780,245746,repetition,immediate,30.0,30.04,0.03999999999999915,अच्छा... अच्छा...,0.851,825780_disf_017_repetition_immediate.wav,output/disfluency_clips/825780_disf_017_repetition_immediate.wav
825780,245746,prolongation,elongation,30.0,30.02,0.019999999999999574,अच्छा...,0.851,825780_disf_018_prolongation_elongation.wav,output/disfluency_clips/825780_disf_018_prolongation_elongation.wav
825780,245746,repetition,immediate,30.02,30.06,0.03999999999999915,अच्छा... अच्छा...,0.861,825780_disf_019_repetition_immediate.wav,output/disfluency_clips/825780_disf_019_repetition_immediate.wav
825780,245746,prolongation,elongation,30.02,30.04,0.019999999999999574,अच्छा...,0.861,825780_disf_020_prolongation_elongation.wav,output/disfluency_clips/825780_disf_020_prolongation_elongation.wav
825780,245746,repetition,immediate,30.04,30.08,0.03999999999999915,अच्छा... अच्छा...,0.868,825780_disf_021_repetition_immediate.wav,output/disfluency_clips/825780_disf_021_repetition_immediate.wav
825780,245746,prolongation,elongation,30.04,30.06,0.019999999999999574,अच्छा...,0.868,825780_disf_022_prolongation_elongation.wav,output/disfluency_clips/825780_disf_022_prolongation_elongation.wav
825780,245746,repetition,immediate,30.06,30.1,0.0400000000000027,अच्छा... अच्छा...,0.878,825780_disf_023_repetition_immediate.wav,output/disfluency_clips/825780_disf_023_repetition_immediate.wav
825780,245746,prolongation,elongation,30.06,30.08,0.019999999999999574,अच्छा...,0.881,825780_disf_024_prolongation_elongation.wav,output/disfluency_clips/825780_disf_024_prolongation_elongation.wav
825780,245746,repetition,immediate,30.08,30.12,0.0400000000000027,अच्छा... अच्छा...,0.878,825780_disf_025_repetition_immediate.wav,output/disfluency_clips/825780_disf_025_repetition_immediate.wav
825780,245746,prolongation,elongation,30.08,30.1,0.020000000000003126,अच्छा...,0.878,825780_disf_026_prolongation_elongation.wav,output/disfluency_clips/825780_disf_026_prolongation_elongation.wav
825780,245746,repetition,immediate,30.1,30.14,0.03999999999999915,अच्छा... अच्छा...,0.89,825780_disf_027_repetition_immediate.wav,output/disfluency_clips/825780_disf_027_repetition_immediate.wav
825780,245746,prolongation,elongation,30.1,30.12,0.019999999999999574,अच्छा...,0.89,825780_disf_028_prolongation_elongation.wav,output/disfluency_clips/825780_disf_028_prolongation_elongation.wav
825780,245746,repetition,immediate,30.12,30.16,0.03999999999999915,अच्छा... अच्छा...,0.894,825780_disf_029_repetition_immediate.wav,output/disfluency_clips/825780_disf_029_repetition_immediate.wav
825780,245746,prolongation,elongation,30.12,30.14,0.019999999999999574,अच्छा...,0.894,825780_disf_030_prolongation_elongation.wav,output/disfluency_clips/825780_disf_030_prolongation_elongation.wav
825780,245746,repetition,immediate,30.14,30.18,0.03999999999999915,अच्छा... अच्छा...,0.895,825780_disf_031_repetition_immediate.wav,output/disfluency_clips/825780_disf_031_repetition_immediate.wav
825780,245746,prolongation,elongation,30.14,30.16,0.019999999999999574,अच्छा...,0.895,825780_disf_032_prolongation_elongation.wav,output/disfluency_clips/825780_disf_032_prolongation_elongation.wav
825780,245746,repetition,immediate,30.16,30.2,0.03999999999999915,अच्छा... अच्छा...,0.897,825780_disf_033_repetition_immediate.wav,output/disfluency_clips/825780_disf_033_repetition_immediate.wav
825780,245746,prolongation,elongation,30.16,30.18,0.019999999999999574,अच्छा...,0.897,825780_disf_034_prolongation_elongation.wav,output/disfluency_clips/825780_disf_034_prolongation_elongation.wav
825780,245746,repetition,immediate,30.18,30.22,0.03999999999999915,अच्छा... अच्छा...,0.9,825780_disf_035_repetition_immediate.wav,output/disfluency_clips/825780_disf_035_repetition_immediate.wav
825780,245746,prolongation,elongation,30.18,30.2,0.019999999999999574,अच्छा...,0.9,825780_disf_036_prolongation_elongation.wav,output/disfluency_clips/825780_disf_036_prolongation_elongation.wav
825780,245746,repetition,immediate,30.2,30.24,0.03999999999999915,अच्छा... अच्छा...,0.906,825780_disf_037_repetition_immediate.wav,output/disfluency_clips/825780_disf_037_repetition_immediate.wav
825780,245746,prolongation,elongation,30.2,30.22,0.019999999999999574,अच्छा...,0.906,825780_disf_038_prolongation_elongation.wav,output/disfluency_clips/825780_disf_038_prolongation_elongation.wav
825780,245746,repetition,immediate,30.22,30.26,0.0400000000000027,अच्छा... अच्छा...,0.906,825780_disf_039_repetition_immediate.wav,output/disfluency_clips/825780_disf_039_repetition_immediate.wav
825780,245746,prolongation,elongation,30.22,30.24,0.019999999999999574,अच्छा...,0.906,825780_disf_040_prolongation_elongation.wav,output/disfluency_clips/825780_disf_040_prolongation_elongation.wav
825780,245746,repetition,immediate,30.24,30.28,0.0400000000000027,अच्छा... अच्छा...,0.91,825780_disf_041_repetition_immediate.wav,output/disfluency_clips/825780_disf_041_repetition_immediate.wav
825780,245746,prolongation,elongation,30.24,30.26,0.020000000000003126,अच्छा...,0.91,825780_disf_042_prolongation_elongation.wav,output/disfluency_clips/825780_disf_042_prolongation_elongation.wav
825780,245746,repetition,immediate,30.26,30.3,0.03999999999999915,अच्छा... अच्छा...,0.911,825780_disf_043_repetition_immediate.wav,output/disfluency_clips/825780_disf_043_repetition_immediate.wav
825780,245746,prolongation,elongation,30.26,30.28,0.019999999999999574,अच्छा...,0.911,825780_disf_044_prolongation_elongation.wav,output/disfluency_clips/825780_disf_044_prolongation_elongation.wav
